FIPS,County,Mobility and Infrastructure Score
19163,163,76.98400511695581
46081,81,76.98075214539824
17167,167,76.9784193162129
20099,99,76.97219463294196
5031,31,76.95022460043484
35005,5,76.93243658847204
41035,35,76.91829951721556
26053,53,76.83813638081651
6051,51,76.82611027419767
31129,129,76.8246381372501
32021,21,76.82432498739257
19111,111,76.79565190755339
46115,115,76.74515086390164
48353,353,76.7309053151261
17029,29,76.65751766587017
46109,109,76.65433575358051
27135,135,76.63328413570831
36007,7,76.61885277288474
41015,15,76.5915674156778
31015,15,76.58161206317783
55029,29,76.5698339605979
51520,520,76.51060735132036
46075,75,76.50185933905259
40119,119,76.49558737636282
17143,143,76.49120707997317
48357,357,76.48294978571911
27169,169,76.47649484892524
48371,371,76.43456292318666
27027,27,76.42653935018312
48381,381,76.42097974606557
42047,47,76.3875128266279
16029,29,76.37780156695547
17159,159,76.36709833863054
36015,15,76.35763244386652
20173,173,76.34979844883195
48449,449,76.33949154351374
55139,139,76.33749711579182
2105,105,76.30615663959514
20081,81,76.28910507741276
6023,23,76.26062777404302
27119,119,76.24253319072636
48191,191,76.23700671661065
48117,117,76.2130067005109
2020,20,76.19720161448592
16019,19,76.1916047977006
29021,21,76.18871039865579
27077,77,76.13976872490056
51121,121,76.12455271475375
19063,63,76.0815641726061
31041,41,76.08115146310132
48115,115,76.03683821086827
27147,147,76.01575504233384
35041,41,76.00672082631196
13069,69,75.99582927238413
48307,307,75.99472318886923
56019,19,75.98938232870604
8115,115,75.98028258326534
49001,1,75.97074634132154
29117,117,75.96002226990191
13185,185,75.9247723878947
6049,49,75.89760791737727
19161,161,75.89736879417865
19103,103,75.88622202475139
6089,89,75.8793171016886
13081,81,75.859270017121
31037,37,75.84683666668532
35019,19,75.84079527994513
32015,15,75.83249746182663
19141,141,75.81406240592992
29023,23,75.81246852693369
13095,95,75.8066704790585
8061,61,75.79771221729511
19123,123,75.7788949265467
21035,35,75.75933288387168
48277,277,75.75771498344712
19153,153,75.74139353665934
41023,23,75.7359216696078
55078,78,75.73296456302852
41029,29,75.71813150460741
48189,189,75.7046196649706
46067,67,75.68447301958898
46055,55,75.67767770160664
35059,59,75.67683988134294
26103,103,75.65396814849966
49047,47,75.61334694521038
31003,3,75.60430314085971
17161,161,75.55331282955555
2068,68,75.5271377305888
36109,109,75.49802214460382
20155,155,75.49480673239472
18105,105,75.47521151389157
41065,65,75.47365396521354
29031,31,75.4561241603738
16077,77,75.4477030624255
18167,167,75.43233871905286
48507,507,75.42709180414528
38045,45,75.41208270594714
49055,55,75.36985235305359
13059,59,75.34582014893265
23013,13,75.34449676344417
21227,227,75.34305810892076
40153,153,75.32624422923419
56005,5,75.32087695461746
47113,113,75.30395156454048
48047,47,75.29100201636948
20077,77,75.28119533764345
46079,79,75.26849082000324
29159,159,75.26254919831071
54107,107,75.24440696592544
29161,161,75.20850314468241
5131,131,75.2052986277927
20157,157,75.19579595069965
19127,127,75.17946369988675
26041,41,75.1659692458363
55125,125,75.16452483177211
39003,3,75.11921537900228
19087,87,75.09446721584465
4005,5,75.09388578193986
19143,143,75.08382377272042
23003,3,75.0822107841411
19169,169,75.0778033481438
48433,433,75.06706979735613
53007,7,75.06059505513801
30059,59,75.05696018960255
48295,295,75.01899780807507
19091,91,75.00946639776792
19069,69,74.98057034724582
30083,83,74.98036435181554
55071,71,74.96528330245013
30073,73,74.94452812429131
56015,15,74.92031470652007
41045,45,74.87638877983265
18163,163,74.86909027137787
38003,3,74.83810523476933
30107,107,74.83770751817603
46043,43,74.81508515178484
41003,3,74.79947854103968
13127,127,74.77055288175865
55097,97,74.76232515838505
19139,139,74.7402934402059
31055,55,74.71154410740444
20205,205,74.70600100970333
48153,153,74.69114201099606
19179,179,74.66984187984733
55141,141,74.66668483635526
6035,35,74.64650680548378
36045,45,74.6100252230711
18067,67,74.60743820707418
38059,59,74.5986922770852
20089,89,74.59444995260624
5001,1,74.5872808392558
12037,37,74.58407220611136
20039,39,74.57106376960934
36013,13,74.56555270567453
28083,83,74.56090937034402
26105,105,74.55888248901465
51690,690,74.5039557173842
38091,91,74.46272738205185
56041,41,74.45714401218501
55087,87,74.45434533488591
39171,171,74.43252090106904
38029,29,74.43242016639891
36067,67,74.42954325748313
28105,105,74.42934972390822
48345,345,74.42524248484519
55085,85,74.41821337510969
28001,1,74.40166081988355
27047,47,74.40147964605899
31091,91,74.37542379931972
48265,265,74.37325077311783
41027,27,74.34973502445176
48179,179,74.32478487720186
41059,59,74.32097895493929
28151,151,74.30757910392902
48165,165,74.3067238331036
35029,29,74.30624971315612
27007,7,74.28950922827838
48279,279,74.27466028283031
29077,77,74.26968828033854
48323,323,74.2271008780667
31085,85,74.1845267939051
31081,81,74.18443152733087
8089,89,74.17563244113673
21047,47,74.16937886623028
8071,71,74.15787129108608
20053,53,74.13644735736344
48329,329,74.12480700767404
30079,79,74.12361336807186
31107,107,74.12269784511689
46127,127,74.1222388642267
41017,17,74.09155399759365
35017,17,74.08654884232755
40007,7,74.0856235734326
13277,277,74.07930235465867
48195,195,74.07769526474578
19009,9,74.07440666262313
12087,87,74.07137235460837
38005,5,74.06892706959329
46097,97,74.04988904069664
26073,73,74.0483117025138
41011,11,74.03957564896325
18039,39,74.03482896545219
40143,143,74.03468395399543
17195,195,74.018364185992
32017,17,73.99849336253018
13215,215,73.9934053495918
29005,5,73.98945324904263
40057,57,73.97411684671496
48389,389,73.96819069226368
51830,830,73.96646496403233
5139,139,73.9562986194798
41039,39,73.92319608269773
30055,55,73.9138838036818
19119,119,73.90800239644312
31073,73,73.86355694753742
27137,137,73.85264565852331
48211,211,73.84731552134983
40055,55,73.83983713924789
48347,347,73.83624894693871
26033,33,73.81768758410725
42049,49,73.79901305106257
4015,15,73.75459777001328
6093,93,73.7512979764584
13017,17,73.73634131050365
36033,33,73.72284494705445
55037,37,73.70682428843136
42081,81,73.69767136122138
22061,61,73.69558744146191
19081,81,73.68693041949544
28081,81,73.68634101823098
18005,5,73.67489467123637
5009,9,73.65336512342951
39107,107,73.64249673505584
46063,63,73.64139076863272
50003,3,73.60299665670392
53017,17,73.57888679296597
30109,109,73.57885507554423
38097,97,73.55703624126528
18177,177,73.55317512055124
48309,309,73.55135939615393
35015,15,73.5269206122963
48183,183,73.5145894765945
53077,77,73.50382185296476
28071,71,73.48873539107706
48005,5,73.4544531169036
38033,33,73.42838604391277
5063,63,73.40184652085527
19157,157,73.4018289146471
26047,47,73.38847658228008
28087,87,73.38370456922041
31153,153,73.38252318690925
21059,59,73.38132478030595
17009,9,73.35538971220552
36055,55,73.34436023784822
46027,27,73.33764463611082
19165,165,73.29918855091975
46077,77,73.2911789944154
38041,41,73.28994731687438
46093,93,73.27790084117142
17095,95,73.2595338413324
5071,71,73.25318007234742
51590,590,73.24435103181138
26055,55,73.24304172415896
31077,77,73.21388453363622
20047,47,73.19893469402756
48233,233,73.17770715419202
48045,45,73.165866652379
26137,137,73.16355592659392
48355,355,73.16203089660387
48227,227,73.16163021536786
27173,173,73.15495607795103
53025,25,73.04904090158504
51770,770,73.03520541101591
8007,7,73.01911501004898
31095,95,72.99061956797394
31099,99,72.97644981502597
22035,35,72.97354273149604
32009,9,72.95211401335648
29155,155,72.94685991375734
36019,19,72.9177799533423
46119,119,72.89905144706604
37055,55,72.89502891608673
32011,11,72.89065929961204
21073,73,72.87261149901322
39043,43,72.87017008319413
16039,39,72.86679119783723
8097,97,72.8594606779459
48271,271,72.84424572955135
19083,83,72.84369945471079
8085,85,72.84344024605672
5113,113,72.81588004957769
19137,137,72.77475336637373
21067,67,72.76139177014468
29091,91,72.75924218439818
26077,77,72.74867570990004
27167,167,72.74662307932486
8105,105,72.72139556043051
42119,119,72.70887035966382
55005,5,72.70795290606276
19151,151,72.70771749432531
38061,61,72.69960238864356
56037,37,72.69925840806192
2122,122,72.68899264805778
39161,161,72.67158082116401
27165,165,72.66677702022271
27151,151,72.66631726328269
22101,101,72.6550009472719
28075,75,72.65038726889212
40011,11,72.64316187886011
48037,37,72.63498876932351
47131,131,72.61904819364136
48057,57,72.60953322286005
46003,3,72.57583362181144
31027,27,72.57143914402943
22019,19,72.56969181237429
39139,139,72.5655475308846
29201,201,72.5531940401924
46047,47,72.54010892430519
18083,83,72.52590265506912
28043,43,72.50794184623062
37129,129,72.5011380809877
31083,83,72.4708813858377
27129,129,72.45433898561204
31161,161,72.44841194642846
26065,65,72.44300810486156
5007,7,72.43408011422223
17081,81,72.42144516861283
8113,113,72.41034975962314
8087,87,72.38770678810653
41007,7,72.36863540435266
48273,273,72.34951146008713
17077,77,72.34607450142147
31183,183,72.34554366793677
26029,29,72.33871323935854
5041,41,72.32150373747915
26025,25,72.32055131492979
20031,31,72.28269468234372
35025,25,72.26569468132136
26021,21,72.24404384709568
5107,107,72.21482993432858
47045,45,72.21241685129608
19149,149,72.20298238883852
13299,299,72.20294601038016
38009,9,72.18883877785136
16001,1,72.18516957217967
39039,39,72.18357391748073
53009,9,72.18114132803305
16057,57,72.16241071226426
48243,243,72.14214739394176
31087,87,72.13999849966217
46121,121,72.13740062830463
18003,3,72.1248530883057
27121,121,72.08291920753955
53047,47,72.06478535517317
26153,153,72.0606727532503
27161,161,72.05873790785841
49015,15,72.05581375762674
12123,123,72.05531003865183
42069,69,72.03613600928017
38027,27,72.02411170268137
42013,13,72.0160320162879
42093,93,71.98733941090696
26071,71,71.96703261894619
19065,65,71.86579354957804
17187,187,71.84089934586602
27099,99,71.83588094227179
40003,3,71.82688907004116
30029,29,71.82605927366424
20201,201,71.81946258180969
39095,95,71.8027218196908
37021,21,71.76634187458836
28035,35,71.76311328207704
22073,73,71.75305916035916
46089,89,71.71867872424453
42123,123,71.71845539395562
16087,87,71.71247723244397
18053,53,71.7081586040244
55039,39,71.7064263460863
48317,317,71.6963474103839
53001,1,71.69370163187075
22065,65,71.6925716392621
39143,143,71.68633053122346
20035,35,71.68161392281372
19079,79,71.67783720059853
19067,67,71.63724589258953
31147,147,71.63497471495437
48421,421,71.6347260099387
39173,173,71.63451187617181
5115,115,71.63330622045846
28011,11,71.61557544259253
36065,65,71.61455598049949
19003,3,71.60357490402995
47141,141,71.57658186633495
40121,121,71.56041868687079
27145,145,71.5514777319312
16053,53,71.53897730699266
20185,185,71.51998852277414
17137,137,71.51660851353999
13275,275,71.49812947493608
41041,41,71.49440741232162
6083,83,71.47531686766577
31053,53,71.47488246332013
38083,83,71.46586330859381
26139,139,71.46488446931168
17011,11,71.45850938274229
38053,53,71.44917828044552
54069,69,71.44501585943496
19131,131,71.43664747190363
4011,11,71.43229235914522
55081,81,71.38014880951256
5093,93,71.37977895965037
45047,47,71.3600552038875
19055,55,71.33166434348112
31143,143,71.33069704937105
41019,19,71.31958752999661
39169,169,71.31450690482643
21075,75,71.28144478493228
8083,83,71.26823674288102
55051,51,71.26782725426148
20011,11,71.24942576824763
17121,121,71.24596044388416
48245,245,71.2436162243255
38037,37,71.23924642631424
38047,47,71.22731836840109
1101,101,71.22232201129019
8073,73,71.21678368889339
20083,83,71.19695130290873
49039,39,71.17989236150275
20091,91,71.179399321317
4027,27,71.17828522193643
28133,133,71.17615311647556
47179,179,71.13881134693793
31173,173,71.12981151753863
48429,429,71.12389653850373
48155,155,71.07955829840769
35053,53,71.07938498055222
18085,85,71.0732917406135
32510,510,71.06618679312356
53021,21,71.05482924125975
6079,79,71.04351427597996
48143,143,71.03161471818935
48075,75,71.02574530547207
21053,53,71.02225862625325
5091,91,71.01495265876359
16003,3,70.9792340036369
8051,51,70.97520861198802
17045,45,70.969894069542
55075,75,70.95330755697438
47079,79,70.9474601729808
5119,119,70.94568749311166
1069,69,70.94088556363022
26081,81,70.94039751629913
41057,57,70.93294117797869
21021,21,70.92997068346251
5103,103,70.92344465433766
32031,31,70.9225824986192
13313,313,70.91422271511463
30097,97,70.90297587406647
5143,143,70.90232628681929
46045,45,70.90090998908038
37173,173,70.89689871471245
31067,67,70.88425481519313
23029,29,70.88314146131142
51820,820,70.87819147369805
48477,477,70.82359625656579
31133,133,70.80544282908464
17183,183,70.80203784678069
29079,79,70.79480497151036
51595,595,70.7861540017742
38085,85,70.75495694779951
37189,189,70.75194076630683
18141,141,70.74941545787028
48033,33,70.74241770841142
5015,15,70.73307386036956
5027,27,70.731583232961
24001,1,70.72832775177199
51840,840,70.72469334718612
16049,49,70.68572445107986
47063,63,70.64936380086546
19017,17,70.63994680820947
17179,179,70.63257183348068
55113,113,70.62516935731742
26063,63,70.6131038912028
22017,17,70.59446309190453
8107,107,70.59072518789276
29133,133,70.57293585550896
18033,33,70.57272376507058
20105,105,70.5706592520715
28025,25,70.54274571843574
55025,25,70.53748208946334
55119,119,70.5330092376069
19037,37,70.53295078822653
29217,217,70.52165438661757
46037,37,70.51996903053353
55099,99,70.49201971851697
46025,25,70.49178394126326
42083,83,70.47789704727585
27159,159,70.47328888792518
36001,1,70.47189678935948
18035,35,70.45999031602373
21019,19,70.44611336506416
51790,790,70.44603846876838
39175,175,70.397562689729
21217,217,70.39200153274824
4023,23,70.3844409220301
25003,3,70.37528502796334
35035,35,70.36107125877032
5017,17,70.32580074342142
33007,7,70.32135377947787
4007,7,70.31250380096313
46019,19,70.30717014300731
37095,95,70.2684773825416
39057,57,70.2508749883327
40137,137,70.24421250079502
5019,19,70.23346327546714
20159,159,70.23319379101063
32001,1,70.22023353120449
31139,139,70.2179830970721
36089,89,70.21529891269545
40059,59,70.17450076561646
27043,43,70.1593084767164
37147,147,70.15895230776891
19155,155,70.15547000596122
8121,121,70.13583030909915
42041,41,70.12221587993048
55015,15,70.09395000648253
39109,109,70.08533744347541
12073,73,70.08147310999186
29143,143,70.07199802797642
8011,11,70.06026441179742
42027,27,70.03989656478863
17201,201,70.02010474894116
6045,45,70.01407045724622
16021,21,69.97971086639238
6007,7,69.96645832245281
53005,5,69.96617783278319
12061,61,69.96209565991136
35027,27,69.95512346773208
4003,3,69.95360171981947
22079,79,69.95211395289768
27035,35,69.95104641208923
48505,505,69.9506347468436
6025,25,69.93791883919562
39147,147,69.92705714122931
48383,383,69.91834612601188
26109,109,69.91065150601716
29105,105,69.89478937515862
42085,85,69.89456201605347
53073,73,69.88451722290682
19045,45,69.87934164311696
19159,159,69.85735802766852
31049,49,69.83876127939261
19025,25,69.81207799677615
13261,261,69.77882910796498
27087,87,69.77855449276481
19049,49,69.75739721730953
48105,105,69.75098621235284
16011,11,69.74482697975753
28149,149,69.74172935694264
5043,43,69.72232561080955
48247,247,69.72067779763968
42037,37,69.71070350585747
31167,167,69.70329581395282
50007,7,69.70131518933952
16075,75,69.7012532720674
21101,101,69.6796415725894
20021,21,69.67743773884627
26121,121,69.64165518007131
29173,173,69.62542777704368
17177,177,69.61051108467946
27111,111,69.6071258992434
40147,147,69.60655384464208
47163,163,69.60099522295315
16047,47,69.59343730261958
40103,103,69.58864365515528
1081,81,69.58049933665606
5061,61,69.57756550091155
48061,61,69.55284156410487
16009,9,69.54186703618875
18017,17,69.52440134340361
31121,121,69.50855073146546
16023,23,69.5053007478724
31009,9,69.50345216099379
21213,213,69.49891096303067
40045,45,69.49386610096022
29007,7,69.49329836422031
16043,43,69.45643066904306
53037,37,69.45389132755099
37067,67,69.44901763870432
30047,47,69.44164449061802
1089,89,69.43158589666409
35023,23,69.42958414143379
29169,169,69.39971921599108
41033,33,69.38884627696764
39113,113,69.3843716401595
54039,39,69.37088583970527
29115,115,69.36829932550428
8067,67,69.35051775862374
26039,39,69.34914432841484
13257,257,69.34392337905022
55031,31,69.32709518680048
54061,61,69.28023932523011
17101,101,69.27941490486525
39099,99,69.27793271096606
18169,169,69.27133491834782
48009,9,69.25328227698802
38077,77,69.24767026267926
17169,169,69.240687795571
37049,49,69.2351517832822
27101,101,69.23003145206206
37035,35,69.22497647306554
48327,327,69.22391435306639
37081,81,69.19915168511653
19007,7,69.18975755303846
8101,101,69.1778259027219
48475,475,69.17314952015533
12001,1,69.16611520180952
39033,33,69.15573146994116
48483,483,69.15293854519693
5051,51,69.14806046056272
5055,55,69.14791821807054
27057,57,69.10361845338294
46009,9,69.06065665098322
17085,85,69.06054467703726
48133,133,69.04531930592329
19173,173,69.04405852271941
48135,135,69.03941523558602
53049,49,69.02705443394673
48007,7,68.99426104581228
32007,7,68.99175986041392
27069,69,68.96658636747102
29199,199,68.96607424227754
48311,311,68.95628950633058
55043,43,68.93500090593453
13153,153,68.92317083185536
51161,161,68.92137806963028
30075,75,68.91045211491884
16079,79,68.88827203240369
48171,171,68.8650132056735
41049,49,68.84829287432943
29205,205,68.84045926956438
54011,11,68.79609646511533
18023,23,68.79173412164745
5003,3,68.76633814936332
26145,145,68.76447674713965
27009,9,68.75757803110596
27051,51,68.74185758471211
48445,445,68.72829073152334
6063,63,68.72337912519342
47183,183,68.7221662108167
29175,175,68.70461817122761
29213,213,68.68942065905105
20079,79,68.66803083367839
40109,109,68.66540792934923
51087,87,68.60593658461215
36029,29,68.60568071352634
55017,17,68.59540757001615
8037,37,68.59034899657259
21199,199,68.5893297319154
48501,501,68.57746015201003
26023,23,68.57660644607884
35013,13,68.56208556567067
37191,191,68.54495289670834
48027,27,68.54333887355222
26069,69,68.54090184580215
18031,31,68.5240666129596
48437,437,68.49791241498883
54083,83,68.49445646945871
17105,105,68.49346815108743
31075,75,68.47210274550311
53063,63,68.46528102291029
31123,123,68.45941136153819
24045,45,68.44564704593829
13245,245,68.44225164908568
26149,149,68.43182555562285
19001,1,68.42945640779516
40115,115,68.42603967527458
