par_state,par_county,kid_race,par_pctile,shrunk_xkid_brcbalance2020,county_name
1,31,Black,-9,2877.559633027523,Coffee
1,31,Asian,25,8128,Coffee
1,31,Pooled,50,4506.30964115201,Coffee
1,31,White,-9,4809.285714285715,Coffee
1,33,Pooled,50,3574.581324320805,Colbert
1,33,Hispanic,75,7458,Colbert
1,33,Asian,25,5329,Colbert
1,33,White,75,4408,Colbert
1,33,Hispanic,25,3461,Colbert
1,33,Pooled,75,4582.092526690391,Colbert
1,33,White,50,3633.5,Colbert
1,33,AIAN,75,7552,Colbert
1,33,Black,50,3117,Colbert
1,33,Black,25,1550,Colbert
1,33,Pooled,25,2567.070121951219,Colbert
1,33,White,25,2859,Colbert
1,33,Asian,-9,6886,Colbert
1,33,White,-9,3641.652631578947,Colbert
1,33,Hispanic,-9,5459.5,Colbert
1,33,Asian,50,6886,Colbert
1,33,Hispanic,50,5459.5,Colbert
1,33,AIAN,-9,4954,Colbert
1,33,Asian,75,8443,Colbert
1,33,Black,75,4684,Colbert
1,33,AIAN,50,4954,Colbert
1,33,Black,-9,2376.236363636363,Colbert
1,33,AIAN,25,2356,Colbert
1,33,Pooled,-9,3496.825944170772,Colbert
1,35,Pooled,75,4683.090909090909,Conecuh
1,35,Black,-9,2212.432098765432,Conecuh
1,35,White,50,3691.5,Conecuh
1,35,Pooled,-9,3000.06432748538,Conecuh
1,35,White,25,2866,Conecuh
1,35,Pooled,25,2416.968503937008,Conecuh
1,35,Hispanic,-9,5745,Conecuh
1,35,Hispanic,75,7496,Conecuh
1,35,Black,25,2023,Conecuh
1,35,Hispanic,25,3994,Conecuh
1,35,White,-9,3510.292682926829,Conecuh
1,35,Black,75,3941,Conecuh
1,35,White,75,4517,Conecuh
1,35,Black,50,2982,Conecuh
1,35,Pooled,50,3550.029706513958,Conecuh
1,35,Hispanic,50,5745,Conecuh
1,37,White,-9,3185.571428571428,Coosa
1,37,Hispanic,50,3170,Coosa
1,37,Hispanic,75,4219,Coosa
1,37,Black,25,2064,Coosa
1,37,Black,-9,2235.317073170732,Coosa
1,37,Black,75,2942,Coosa
1,37,Hispanic,25,2121,Coosa
1,37,Pooled,-9,2857.126050420168,Coosa
1,37,White,25,2569,Coosa
1,37,White,50,3399,Coosa
1,37,Pooled,25,2341.135802469136,Coosa
1,37,Hispanic,-9,3170,Coosa
1,37,Pooled,50,3149.067901234568,Coosa
1,37,Pooled,75,3957,Coosa
1,37,Black,50,2503,Coosa
1,37,White,75,4229,Coosa
1,39,Asian,75,6152,Covington
1,39,Pooled,-9,3942.625603864734,Covington
1,39,AIAN,50,5006.5,Covington
1,39,Pooled,50,4293.210155316607,Covington
1,39,Black,25,1927,Covington
1,39,White,-9,4249.640625,Covington
1,39,Pooled,75,5301.140740740741,Covington
1,39,Hispanic,50,4295.5,Covington
1,39,Pooled,25,3285.279569892473,Covington
1,39,AIAN,75,7529,Covington
1,39,Black,50,3009.5,Covington
1,39,Black,75,4092,Covington
