FIPS,County,Social Capital and Community Score
6111,"Ventura, California",46.44894671483413
55035,"Eau Claire, Wisconsin",46.43672591987744
15009,"Maui, Hawaii",46.425669275302155
38103,"Wells, North Dakota",46.41773891416891
27051,"Grant, Minnesota",46.34151795159941
47125,"Montgomery, Tennessee",46.321939807954685
55033,"Dunn, Wisconsin",46.28979278823766
31109,"Lancaster, Nebraska",46.280135971576655
53063,"Spokane, Washington",46.25791631161025
19129,"Mills, Iowa",46.23654222692928
51047,"Culpeper, Virginia",46.230745797045216
48497,"Wise, Texas",46.22340424649452
48043,"Brewster, Texas",46.17874516945311
55055,"Jefferson, Wisconsin",46.127538548853295
27149,"Stevens, Minnesota",46.11933762440602
36001,"Albany, New York",46.111348163285506
25027,"Worcester, Massachusetts",46.08452441384636
19031,"Cedar, Iowa",46.04234798276515
19075,"Grundy, Iowa",46.0247827591479
27131,"Rice, Minnesota",45.99006465492812
18043,"Floyd, Indiana",45.980425708870186
23031,"York, Maine",45.96862021647735
36085,"Richmond, New York",45.92770284684943
26045,"Eaton, Michigan",45.91918825169181
55021,"Columbia, Wisconsin",45.91001370633965
42093,"Montour, Pennsylvania",45.810551897826485
12095,"Orange, Florida",45.8052703216365
30067,"Park, Montana",45.798224259958396
27079,"Le Sueur, Minnesota",45.735069173768515
40003,"Alfalfa, Oklahoma",45.73149062692999
51101,"King William, Virginia",45.72514282343182
50001,"Addison, Vermont",45.72068723044383
18173,"Warrick, Indiana",45.68315952645616
47149,"Rutherford, Tennessee",45.68239304568177
17019,"Champaign, Illinois",45.6579838560957
48251,"Johnson, Texas",45.64978319802784
26055,"Grand Traverse, Michigan",45.59083491472259
30057,"Madison, Montana",45.55597786133955
25011,"Franklin, Massachusetts",45.54127318458636
48099,"Coryell, Texas",45.49609035906411
50023,"Washington, Vermont",45.48028371491738
38059,"Morton, North Dakota",45.47615242231494
12101,"Pasco, Florida",45.4678601895232
20121,"Miami, Kansas",45.45681824676223
27121,"Pope, Minnesota",45.40798752898199
